Year,SP_500I_Value,Prct_Chnge_SP500I,Real_GDP_Per_Capita_th,Real_GDP,Real_GDP_Change,Prct_Chnge_GDP,Tax_Rev_b,Tax_Rev_Diff,Prct_Chnge_Tax_Rev,Money_In_Circ_b,Money_Printed_billions,Prct_Chnge_Printed,CPI,EFFR,Mortgage_Rate,US_house_units,MSPUS_th,Purch_Power
1928,337.2558333333333,16.44770158598623,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.495416666666667,-0.10958333333333226,-2.3796597900832217,17.15833333333333,NULL,NULL,NULL,NULL,381.6850495875428
1927,289.62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.6049999999999995,-0.03941666666666688,-0.8486892864191797,17.358333333333338,NULL,NULL,NULL,NULL,376.94534925805294
1926,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.644416666666666,0.06399999999999917,1.3972527972345938,17.7,NULL,NULL,NULL,NULL,381.1027577916136
1925,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.580416666666667,-0.011166666666666103,-0.24319860614528954,17.541666666666664,NULL,NULL,NULL,NULL,382.97098153370314
1924,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.591583333333333,0.05783333333333385,1.2756180498115999,17.124999999999996,NULL,NULL,NULL,NULL,372.96502658850426
1923,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.5337499999999995,0.2869166666666656,6.756014285153622,17.050000000000004,NULL,NULL,NULL,NULL,376.0683760683762
1922,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.246833333333334,-0.41749999999999954,-8.950904023440277,16.75,NULL,NULL,NULL,NULL,394.4115223107413
1921,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.664333333333333,-0.5260000000000007,-10.134223877721416,17.850000000000005,NULL,NULL,NULL,NULL,382.6913456728365
1920,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.190333333333334,0.4623333333333344,9.778623801466457,20.04166666666667,NULL,NULL,NULL,NULL,386.13448076552567
1919,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.728,0.3576666666666659,8.183967660742875,17.333333333333332,NULL,NULL,NULL,NULL,366.6102650874224
1918,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.370333333333334,0.5055333333333341,13.080452632305262,15.041666666666666,NULL,NULL,NULL,NULL,344.17664556479286
1917,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.8648,NULL,NULL,12.824999999999998,NULL,NULL,NULL,NULL,331.84123369902704
